V1	V2	V3	father
11146	R-HSA-3371599	Defective HLCS causes multiple carboxylase deficiency	Homo sapiens	Disease
11147	R-HSA-9734281	Defective HPRT1 disrupts guanine and hypoxanthine salvage	Homo sapiens	Disease
11148	R-HSA-9670621	Defective Inhibition of DNA Recombination at Telomere	Homo sapiens	Disease
11149	R-HSA-9670615	Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations	Homo sapiens	Disease
11150	R-HSA-9670613	Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations	Homo sapiens	Disease
11151	R-HSA-9734009	Defective Intrinsic Pathway for Apoptosis	Homo sapiens	Disease
11152	R-HSA-9645722	Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function	Homo sapiens	Disease
11153	R-HSA-5083627	Defective LARGE causes MDDGA6 and MDDGB6	Homo sapiens	Disease
11154	R-HSA-5083630	Defective LFNG causes SCDO3	Homo sapiens	Disease
11155	R-HSA-4793950	Defective MAN1B1 causes MRT15	Homo sapiens	Disease
11156	R-HSA-5579012	Defective MAOA causes BRUNS	Homo sapiens	Disease
11157	R-HSA-5579024	Defective MAT1A causes MATD	Homo sapiens	Disease
11158	R-HSA-4793952	Defective MGAT2 causes CDG-2a	Homo sapiens	Disease
11159	R-HSA-3359475	Defective MMAA causes MMA, cblA type	Homo sapiens	Disease
11160	R-HSA-3359471	Defective MMAB causes MMA, cblB type	Homo sapiens	Disease
11161	R-HSA-3359474	Defective MMACHC causes MAHCC	Homo sapiens	Disease
11162	R-HSA-3359473	Defective MMADHC causes MMAHCD	Homo sapiens	Disease
11163	R-HSA-4793954	Defective MOGS causes CDG-2b	Homo sapiens	Disease
11164	R-HSA-4687000	Defective MPDU1 causes CDG-1f	Homo sapiens	Disease
11165	R-HSA-4043916	Defective MPI causes MPI-CDG	Homo sapiens	Disease
11166	R-HSA-3359469	Defective MTR causes HMAG	Homo sapiens	Disease
11167	R-HSA-3359467	Defective MTRR causes HMAE	Homo sapiens	Disease
11168	R-HSA-3359478	Defective MUT causes MMAM	Homo sapiens	Disease
11169	R-HSA-9608287	Defective MUTYH substrate binding	Homo sapiens	Disease
11170	R-HSA-9608290	Defective MUTYH substrate processing	Homo sapiens	Disease
11171	R-HSA-5545483	Defective Mismatch Repair Associated With MLH1	Homo sapiens	Disease
11172	R-HSA-5632928	Defective Mismatch Repair Associated With MSH2	Homo sapiens	Disease
11173	R-HSA-5632927	Defective Mismatch Repair Associated With MSH3	Homo sapiens	Disease
11174	R-HSA-5632968	Defective Mismatch Repair Associated With MSH6	Homo sapiens	Disease
11175	R-HSA-5632987	Defective Mismatch Repair Associated With PMS2	Homo sapiens	Disease
11176	R-HSA-4341670	Defective NEU1 causes sialidosis	Homo sapiens	Disease
11177	R-HSA-9630222	Defective NTHL1 substrate binding	Homo sapiens	Disease
11178	R-HSA-9630221	Defective NTHL1 substrate processing	Homo sapiens	Disease
11179	R-HSA-9657050	Defective OGG1 Localization	Homo sapiens	Disease
11180	R-HSA-9656255	Defective OGG1 Substrate Binding	Homo sapiens	Disease
11181	R-HSA-9656256	Defective OGG1 Substrate Processing	Homo sapiens	Disease
11182	R-HSA-5578998	Defective OPLAH causes OPLAHD	Homo sapiens	Disease
11183	R-HSA-3560796	Defective PAPSS2 causes SEMD-PA	Homo sapiens	Disease
11184	R-HSA-5609974	Defective PGM1 causes PGM1-CDG	Homo sapiens	Disease
11185	R-HSA-4043911	Defective PMM2 causes PMM2-CDG	Homo sapiens	Disease
11186	R-HSA-9735763	Defective PNP disrupts phosphorolysis of (deoxy)guanosine and (deoxy)inosine	Homo sapiens	Disease
11187	R-HSA-5083628	Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3	Homo sapiens	Disease
11188	R-HSA-5083633	Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1	Homo sapiens	Disease
11189	R-HSA-5083629	Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2	Homo sapiens	Disease
11190	R-HSA-4570571	Defective RFT1 causes CDG-1n	Homo sapiens	Disease
11191	R-HSA-5619042	Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)	Homo sapiens	Disease
11192	R-HSA-9693928	Defective RIPK1-mediated regulated necrosis	Homo sapiens	Disease
11193	R-HSA-9657689	Defective SERPING1 causes hereditary angioedema	Homo sapiens	Disease
11194	R-HSA-5687868	Defective SFTPA2 causes IPF	Homo sapiens	Disease
11195	R-HSA-5619048	Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)	Homo sapiens	Disease
11196	R-HSA-5619104	Defective SLC12A1 causes Bartter syndrome 1 (BS1)	Homo sapiens	Disease
11197	R-HSA-5619087	Defective SLC12A3 causes Gitelman syndrome (GS)	Homo sapiens	Disease
11198	R-HSA-5619039	Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)	Homo sapiens	Disease
11199	R-HSA-5619070	Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)	Homo sapiens	Disease
11200	R-HSA-5619035	Defective SLC17A5 causes Salla disease (SD) and ISSD	Homo sapiens	Disease
11201	R-HSA-5619076	Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)	Homo sapiens	Disease
11202	R-HSA-5619067	Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)	Homo sapiens	Disease
11203	R-HSA-5619062	Defective SLC1A3 causes episodic ataxia 6 (EA6)	Homo sapiens	Disease
11204	R-HSA-5619111	Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)	Homo sapiens	Disease
11205	R-HSA-5619071	Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)	Homo sapiens	Disease
11206	R-HSA-5619066	Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)	Homo sapiens	Disease
11207	R-HSA-5619053	Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)	Homo sapiens	Disease
11208	R-HSA-5619077	Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)	Homo sapiens	Disease
11209	R-HSA-5619055	Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)	Homo sapiens	Disease
11210	R-HSA-5619036	Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)	Homo sapiens	Disease
11211	R-HSA-3560792	Defective SLC26A2 causes chondrodysplasias	Homo sapiens	Disease
11212	R-HSA-5619085	Defective SLC26A3 causes congenital secretory chloride diarrhea 1 (DIAR1)	Homo sapiens	Disease
11213	R-HSA-5619046	Defective SLC26A4 causes Pendred syndrome (PDS)	Homo sapiens	Disease
11214	R-HSA-5619108	Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)	Homo sapiens	Disease
11215	R-HSA-5619063	Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)	Homo sapiens	Disease
11216	R-HSA-5619043	Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)	Homo sapiens	Disease
11217	R-HSA-5619068	Defective SLC2A10 causes arterial tortuosity syndrome (ATS)	Homo sapiens	Disease
11218	R-HSA-5619098	Defective SLC2A2 causes Fanconi-Bickel syndrome (FBS)	Homo sapiens	Disease
11219	R-HSA-5619047	Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)	Homo sapiens	Disease
11220	R-HSA-5619061	Defective SLC33A1 causes spastic paraplegia 42 (SPG42)	Homo sapiens	Disease
11221	R-HSA-5619040	Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)	Homo sapiens	Disease
11222	R-HSA-5687583	Defective SLC34A2 causes PALM	Homo sapiens	Disease
11223	R-HSA-5619045	Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)	Homo sapiens	Disease
11224	R-HSA-5619097	Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)	Homo sapiens	Disease
11225	R-HSA-5619037	Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	Homo sapiens	Disease
11226	R-HSA-5663020	Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)	Homo sapiens	Disease
11227	R-HSA-5619072	Defective SLC35A2 causes congenital disorder of glycosylation 2M (CDG2M)	Homo sapiens	Disease
11228	R-HSA-5619083	Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)	Homo sapiens	Disease
11229	R-HSA-5619078	Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)	Homo sapiens	Disease
11230	R-HSA-5579020	Defective SLC35D1 causes SCHBCKD	Homo sapiens	Disease
11231	R-HSA-5619041	Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)	Homo sapiens	Disease
11232	R-HSA-5619088	Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)	Homo sapiens	Disease
11233	R-HSA-5619113	Defective SLC3A1 causes cystinuria (CSNU)	Homo sapiens	Disease
11234	R-HSA-5655799	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)	Homo sapiens	Disease
11235	R-HSA-5619049	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)	Homo sapiens	Disease
11236	R-HSA-5619050	Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)	Homo sapiens	Disease
11237	R-HSA-5619054	Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)	Homo sapiens	Disease
11238	R-HSA-5656364	Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)	Homo sapiens	Disease
11239	R-HSA-5658208	Defective SLC5A2 causes renal glucosuria (GLYS1)	Homo sapiens	Disease
11240	R-HSA-5619096	Defective SLC5A5 causes thyroid dyshormonogenesis 1 (TDH1)	Homo sapiens	Disease
11241	R-HSA-5658471	Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	Homo sapiens	Disease
11242	R-HSA-5619114	Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)	Homo sapiens	Disease
11243	R-HSA-5659729	Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	Homo sapiens	Disease
11244	R-HSA-5619079	Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria	Homo sapiens	Disease
11245	R-HSA-5659735	Defective SLC6A19 causes Hartnup disorder (HND)	Homo sapiens	Disease
11246	R-HSA-5619044	Defective SLC6A19 causes Hartnup disorder (HND)	Homo sapiens	Disease
11247	R-HSA-5619109	Defective SLC6A2 causes orthostatic intolerance (OI)	Homo sapiens	Disease
11248	R-HSA-5619081	Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	Homo sapiens	Disease
11249	R-HSA-5660724	Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)	Homo sapiens	Disease
11250	R-HSA-5619089	Defective SLC6A5 causes hyperekplexia 3 (HKPX3)	Homo sapiens	Disease
11251	R-HSA-5660862	Defective SLC7A7 causes lysinuric protein intolerance (LPI)	Homo sapiens	Disease
11252	R-HSA-5660883	Defective SLC7A9 causes cystinuria (CSNU)	Homo sapiens	Disease
11253	R-HSA-5619092	Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)	Homo sapiens	Disease
11254	R-HSA-5619052	Defective SLC9A9 causes autism 16 (AUTS16)	Homo sapiens	Disease
11255	R-HSA-5619110	Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)	Homo sapiens	Disease
11256	R-HSA-5619058	Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)	Homo sapiens	Disease
11257	R-HSA-5619095	Defective SLCO2A1 causes primary, autosomal recessive hypertrophic osteoarthropathy 2 (PHOAR2)	Homo sapiens	Disease
11258	R-HSA-4755579	Defective SRD5A3 causes SRD5A3-CDG, KHRZ	Homo sapiens	Disease
11259	R-HSA-3656243	Defective ST3GAL3 causes MCT12 and EIEE15	Homo sapiens	Disease
11260	R-HSA-5579032	Defective TBXAS1 causes GHDD	Homo sapiens	Disease
11261	R-HSA-3359454	Defective TCN2 causes TCN2 deficiency	Homo sapiens	Disease
11262	R-HSA-5578995	Defective TPMT causes TPMT deficiency	Homo sapiens	Disease
11263	R-HSA-5619107	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	Homo sapiens	Disease
11264	R-HSA-5579002	Defective UGT1A1 causes hyperbilirubinemia	Homo sapiens	Disease
11265	R-HSA-5579016	Defective UGT1A4 causes hyperbilirubinemia	Homo sapiens	Disease
11266	R-HSA-9661069	Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)	Homo sapiens	Disease
11267	R-HSA-9672396	Defective cofactor function of FVIIIa variant	Homo sapiens	Disease
11268	R-HSA-9668250	Defective factor IX causes hemophilia B	Homo sapiens	Disease
11269	R-HSA-9672383	Defective factor IX causes thrombophilia	Homo sapiens	Disease
11270	R-HSA-9662001	Defective factor VIII causes hemophilia A	Homo sapiens	Disease
11271	R-HSA-9657688	Defective factor XII causes hereditary angioedema	Homo sapiens	Disease
11272	R-HSA-9673240	Defective gamma-carboxylation of F9	Homo sapiens	Disease
11273	R-HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	Homo sapiens	Disease
11274	R-HSA-9701190	Defective homologous recombination repair (HRR) due to BRCA2 loss of function	Homo sapiens	Disease
11275	R-HSA-9701193	Defective homologous recombination repair (HRR) due to PALB2 loss of function	Homo sapiens	Disease
11276	R-HSA-5688031	Defective pro-SFTPB causes SMDP1 and RDS	Homo sapiens	Disease
11277	R-HSA-5688354	Defective pro-SFTPC causes SMDP2 and RDS	Homo sapiens	Disease
11278	R-HSA-9710421	Defective pyroptosis	Homo sapiens	Disease
11279	R-HSA-9661070	Defective translocation of RB1 mutants to the nucleus	Homo sapiens	Disease
11280	R-HSA-3323169	Defects in biotin (Btn) metabolism	Homo sapiens	Disease
11281	R-HSA-3296469	Defects in cobalamin (B12) metabolism	Homo sapiens	Disease
11282	R-HSA-3296482	Defects in vitamin and cofactor metabolism	Homo sapiens	Disease
11283	R-HSA-9651496	Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)	Homo sapiens	Disease
11284	R-HSA-1461973	Defensins	Homo sapiens	Immune System
11285	R-HSA-4641257	Degradation of AXIN	Homo sapiens	Signal Transduction
11286	R-HSA-4641258	Degradation of DVL	Homo sapiens	Signal Transduction
11287	R-HSA-916853	Degradation of GABA	Homo sapiens	Neuronal System
11288	R-HSA-5610780	Degradation of GLI1 by the proteasome	Homo sapiens	Signal Transduction
11289	R-HSA-5610783	Degradation of GLI2 by the proteasome	Homo sapiens	Signal Transduction
11290	R-HSA-195253	Degradation of beta-catenin by the destruction complex	Homo sapiens	Signal Transduction
11291	R-HSA-1614558	Degradation of cysteine and homocysteine	Homo sapiens	Metabolism
11292	R-HSA-1474228	Degradation of the extracellular matrix	Homo sapiens	Extracellular matrix organization
11293	R-HSA-5467343	Deletions in the AMER1 gene destabilize the destruction complex	Homo sapiens	Disease
11294	R-HSA-5467345	Deletions in the AXIN1 gene destabilize the destruction complex	Homo sapiens	Disease
11295	R-HSA-4419969	Depolymerization of the Nuclear Lamina	Homo sapiens	Cell Cycle
11296	R-HSA-606279	Deposition of new CENPA-containing nucleosomes at the centromere	Homo sapiens	Cell Cycle
11297	R-HSA-73927	Depurination	Homo sapiens	DNA Repair
11298	R-HSA-73928	Depyrimidination	Homo sapiens	DNA Repair
11299	R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	Homo sapiens	Disease
11300	R-HSA-2022923	Dermatan sulfate biosynthesis	Homo sapiens	Metabolism
11301	R-HSA-3299685	Detoxification of Reactive Oxygen Species	Homo sapiens	Cellular responses to stimuli
11302	R-HSA-5688426	Deubiquitination	Homo sapiens	Metabolism of proteins
11303	R-HSA-1266738	Developmental Biology	Homo sapiens	Developmental Biology
11304	R-HSA-8935690	Digestion	Homo sapiens	Digestion and absorption
11305	R-HSA-8963743	Digestion and absorption	Homo sapiens	Digestion and absorption
11306	R-HSA-189085	Digestion of dietary carbohydrate	Homo sapiens	Digestion and absorption
11307	R-HSA-192456	Digestion of dietary lipid	Homo sapiens	Digestion and absorption
11308	R-HSA-69416	Dimerization of procaspase-8	Homo sapiens	Programmed Cell Death
11309	R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	Homo sapiens	Signal Transduction
11310	R-HSA-1643685	Disease	Homo sapiens	Disease
11311	R-HSA-3781860	Diseases associated with N-glycosylation of proteins	Homo sapiens	Disease
11312	R-HSA-3906995	Diseases associated with O-glycosylation of proteins	Homo sapiens	Disease
11313	R-HSA-3560782	Diseases associated with glycosaminoglycan metabolism	Homo sapiens	Disease
11314	R-HSA-5609975	Diseases associated with glycosylation precursor biosynthesis	Homo sapiens	Disease
11315	R-HSA-5687613	Diseases associated with surfactant metabolism	Homo sapiens	Disease
11316	R-HSA-5602358	Diseases associated with the TLR signaling cascade	Homo sapiens	Disease
11317	R-HSA-2474795	Diseases associated with visual transduction	Homo sapiens	Disease
11318	R-HSA-9605308	Diseases of Base Excision Repair	Homo sapiens	Disease
11319	R-HSA-9630747	Diseases of Cellular Senescence	Homo sapiens	Disease
11320	R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	Homo sapiens	Disease
11321	R-HSA-9675135	Diseases of DNA repair	Homo sapiens	Disease
11322	R-HSA-5260271	Diseases of Immune System	Homo sapiens	Disease
11323	R-HSA-5423599	Diseases of Mismatch Repair (MMR)	Homo sapiens	Disease
11324	R-HSA-9673013	Diseases of Telomere Maintenance	Homo sapiens	Disease
11325	R-HSA-5663084	Diseases of carbohydrate metabolism	Homo sapiens	Disease
11326	R-HSA-9675132	Diseases of cellular response to stress	Homo sapiens	Disease
11327	R-HSA-3781865	Diseases of glycosylation	Homo sapiens	Disease
11328	R-HSA-9671793	Diseases of hemostasis	Homo sapiens	Disease
11329	R-HSA-5668914	Diseases of metabolism	Homo sapiens	Disease
11330	R-HSA-9759774	Diseases of mitochondrial beta oxidation	Homo sapiens	Disease
11331	R-HSA-9675126	Diseases of mitotic cell cycle	Homo sapiens	Disease
11332	R-HSA-9735804	Diseases of nucleotide metabolism	Homo sapiens	Disease
11333	R-HSA-9645723	Diseases of programmed cell death	Homo sapiens	Disease
11334	R-HSA-9759785	Diseases of propionyl-CoA catabolism	Homo sapiens	Disease
11335	R-HSA-5663202	Diseases of signal transduction by growth factor receptors and second messengers	Homo sapiens	Disease
11336	R-HSA-9675143	Diseases of the neuronal system	Homo sapiens	Disease
11337	R-HSA-114516	Disinhibition of SNARE formation	Homo sapiens	Hemostasis
11338	R-HSA-9675151	Disorders of Developmental Biology	Homo sapiens	Disease
11339	R-HSA-9697154	Disorders of Nervous System Development	Homo sapiens	Disease
11340	R-HSA-5619115	Disorders of transmembrane transporters	Homo sapiens	Disease
11341	R-HSA-110357	Displacement of DNA glycosylase by APEX1	Homo sapiens	DNA Repair
11342	R-HSA-75205	Dissolution of Fibrin Clot	Homo sapiens	Hemostasis
11343	R-HSA-212676	Dopamine Neurotransmitter Release Cycle	Homo sapiens	Neuronal System
11344	R-HSA-379401	Dopamine clearance from the synaptic cleft	Homo sapiens	Neuronal System
11345	R-HSA-390651	Dopamine receptors	Homo sapiens	Signal Transduction
11346	R-HSA-8863795	Downregulation of ERBB2 signaling	Homo sapiens	Signal Transduction
11347	R-HSA-1358803	Downregulation of ERBB2:ERBB3 signaling	Homo sapiens	Signal Transduction
11348	R-HSA-1253288	Downregulation of ERBB4 signaling	Homo sapiens	Signal Transduction
11349	R-HSA-2173795	Downregulation of SMAD2/3:SMAD4 transcriptional activity	Homo sapiens	Gene expression (Transcription)_Signal Transduction
11350	R-HSA-2173788	Downregulation of TGF-beta receptor signaling	Homo sapiens	Signal Transduction
11351	R-HSA-202424	Downstream TCR signaling	Homo sapiens	Immune System
11352	R-HSA-186763	Downstream signal transduction	Homo sapiens	Signal Transduction
11353	R-HSA-1168372	Downstream signaling events of B Cell Receptor (BCR)	Homo sapiens	Immune System
11354	R-HSA-5654687	Downstream signaling of activated FGFR1	Homo sapiens	Signal Transduction
11355	R-HSA-5654696	Downstream signaling of activated FGFR2	Homo sapiens	Signal Transduction
11356	R-HSA-5654708	Downstream signaling of activated FGFR3	Homo sapiens	Signal Transduction
11357	R-HSA-5654716	Downstream signaling of activated FGFR4	Homo sapiens	Signal Transduction
11358	R-HSA-9748784	Drug ADME	Homo sapiens	Drug ADME
11359	R-HSA-9665230	Drug resistance in ERBB2 KD mutants	Homo sapiens	Disease
11360	R-HSA-9665737	Drug resistance in ERBB2 TMD/JMD mutants	Homo sapiens	Disease
11361	R-HSA-9700649	Drug resistance of ALK mutants	Homo sapiens	Disease
11362	R-HSA-9702506	Drug resistance of FLT3 mutants	Homo sapiens	Disease
11363	R-HSA-9669937	Drug resistance of KIT mutants	Homo sapiens	Disease
11364	R-HSA-9674415	Drug resistance of PDGFR mutants	Homo sapiens	Disease
11365	R-HSA-9750126	Drug-induced formation of DNA interstrand crosslinks	Homo sapiens	DNA Repair
11366	R-HSA-9754119	Drug-mediated inhibition of CDK4/CDK6 activity	Homo sapiens	Cell Cycle
11367	R-HSA-9652282	Drug-mediated inhibition of ERBB2 signaling	Homo sapiens	Signal Transduction
11368	R-HSA-9734091	Drug-mediated inhibition of MET activation	Homo sapiens	Signal Transduction
11369	R-HSA-5696400	Dual Incision in GG-NER	Homo sapiens	DNA Repair
11370	R-HSA-6782135	Dual incision in TC-NER	Homo sapiens	DNA Repair
11371	R-HSA-113510	E2F mediated regulation of DNA replication	Homo sapiens	Cell Cycle
11372	R-HSA-113507	E2F-enabled inhibition of pre-replication complex formation	Homo sapiens	Cell Cycle
11373	R-HSA-8866654	E3 ubiquitin ligases ubiquitinate target proteins	Homo sapiens	Metabolism of proteins
11374	R-HSA-3000178	ECM proteoglycans	Homo sapiens	Extracellular matrix organization
11375	R-HSA-2179392	EGFR Transactivation by Gastrin	Homo sapiens	Signal Transduction
11376	R-HSA-182971	EGFR downregulation	Homo sapiens	Signal Transduction
11377	R-HSA-212718	EGFR interacts with phospholipase C-gamma	Homo sapiens	Signal Transduction
11378	R-HSA-9619665	EGR2 and SOX10-mediated initiation of Schwann cell myelination	Homo sapiens	Developmental Biology
11379	R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	Homo sapiens	Cell Cycle
11380	R-HSA-2682334	EPH-Ephrin signaling	Homo sapiens	Developmental Biology
11381	R-HSA-3928665	EPH-ephrin mediated repulsion of cells	Homo sapiens	Developmental Biology
11382	R-HSA-3928663	EPHA-mediated growth cone collapse	Homo sapiens	Developmental Biology
11383	R-HSA-3928662	EPHB-mediated forward signaling	Homo sapiens	Developmental Biology
11384	R-HSA-901032	ER Quality Control Compartment (ERQC)	Homo sapiens	Metabolism of proteins
11385	R-HSA-199977	ER to Golgi Anterograde Transport	Homo sapiens	Metabolism of proteins
11386	R-HSA-1236974	ER-Phagosome pathway	Homo sapiens	Immune System
11387	R-HSA-8847993	ERBB2 Activates PTK6 Signaling	Homo sapiens	Signal Transduction
11388	R-HSA-6785631	ERBB2 Regulates Cell Motility	Homo sapiens	Signal Transduction
11389	R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	Homo sapiens	Gene expression (Transcription)
11390	R-HSA-198753	ERK/MAPK targets	Homo sapiens	Immune System
11391	R-HSA-202670	ERKs are inactivated	Homo sapiens	Immune System
11392	R-HSA-8939211	ESR-mediated signaling	Homo sapiens	Signal Transduction
11393	R-HSA-162594	Early Phase of HIV Life Cycle	Homo sapiens	Disease
11394	R-HSA-9772572	Early SARS-CoV-2 Infection Events	Homo sapiens	Disease
11395	R-HSA-114508	Effects of PIP2 hydrolysis	Homo sapiens	Signal Transduction
11396	R-HSA-391903	Eicosanoid ligand-binding receptors	Homo sapiens	Signal Transduction
11397	R-HSA-211979	Eicosanoids	Homo sapiens	Metabolism
11398	R-HSA-1566948	Elastic fibre formation	Homo sapiens	Extracellular matrix organization
11399	R-HSA-112303	Electric Transmission Across Gap Junctions	Homo sapiens	Neuronal System
11400	R-HSA-2395516	Electron transport from NADPH to Ferredoxin	Homo sapiens	Metabolism
11401	R-HSA-139853	Elevation of cytosolic Ca2+ levels	Homo sapiens	Hemostasis
11402	R-HSA-211976	Endogenous sterols	Homo sapiens	Metabolism
11403	R-HSA-917729	Endosomal Sorting Complex Required For Transport (ESCRT)	Homo sapiens	Vesicle-mediated transport
11404	R-HSA-1236977	Endosomal/Vacuolar pathway	Homo sapiens	Immune System
11405	R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	Homo sapiens	Signal Transduction
11406	R-HSA-168275	Entry of Influenza Virion into Host Cell via Endocytosis	Homo sapiens	Disease
11407	R-HSA-379398	Enzymatic degradation of Dopamine by monoamine oxidase	Homo sapiens	Neuronal System
11408	R-HSA-379397	Enzymatic degradation of dopamine by COMT	Homo sapiens	Neuronal System
11409	R-HSA-3928664	Ephrin signaling	Homo sapiens	Developmental Biology
11410	R-HSA-212165	Epigenetic regulation of gene expression	Homo sapiens	Gene expression (Transcription)
11411	R-HSA-9758919	Epithelial-Mesenchymal Transition (EMT) during gastrulation	Homo sapiens	Developmental Biology
11412	R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	Homo sapiens	Transport of small molecules
11413	R-HSA-1247673	Erythrocytes take up oxygen and release carbon dioxide	Homo sapiens	Transport of small molecules
11414	R-HSA-9027276	Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	Homo sapiens	Signal Transduction
11415	R-HSA-9027277	Erythropoietin activates Phospholipase C gamma (PLCG)	Homo sapiens	Signal Transduction
11416	R-HSA-9027284	Erythropoietin activates RAS	Homo sapiens	Signal Transduction
11417	R-HSA-9027283	Erythropoietin activates STAT5	Homo sapiens	Signal Transduction
11418	R-HSA-9637679	Escape of Mtb from the phagocyte	Homo sapiens	Disease
11419	R-HSA-5657562	Essential fructosuria	Homo sapiens	Disease
11420	R-HSA-5662853	Essential pentosuria	Homo sapiens	Disease
11421	R-HSA-2468052	Establishment of Sister Chromatid Cohesion	Homo sapiens	Cell Cycle
11422	R-HSA-193144	Estrogen biosynthesis	Homo sapiens	Metabolism
11423	R-HSA-9018519	Estrogen-dependent gene expression	Homo sapiens	Signal Transduction
11424	R-HSA-9634638	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	Homo sapiens	Signal Transduction
11425	R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	Homo sapiens	Signal Transduction
11426	R-HSA-71384	Ethanol oxidation	Homo sapiens	Metabolism
11427	R-HSA-156842	Eukaryotic Translation Elongation	Homo sapiens	Metabolism of proteins
11428	R-HSA-72613	Eukaryotic Translation Initiation	Homo sapiens	Metabolism of proteins
11429	R-HSA-72764	Eukaryotic Translation Termination	Homo sapiens	Metabolism of proteins
11430	R-HSA-9630791	Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4	Homo sapiens	Disease
11431	R-HSA-9630794	Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	Homo sapiens	Disease
11432	R-HSA-9646303	Evasion of Oncogene Induced Senescence Due to p14ARF Defects	Homo sapiens	Disease
11433	R-HSA-9630750	Evasion of Oncogene Induced Senescence Due to p16INK4A Defects	Homo sapiens	Disease
11434	R-HSA-9632697	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4	Homo sapiens	Disease
11435	R-HSA-9632700	Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	Homo sapiens	Disease
